#higher outliers
#dinu	self	sp1		
cc		136005,104115
cg		117411,45816
gc		142948,86916
#low outliers
aa		120698,268847
at		101606,248232
ta		54881,205747
tt		119224,269160

   V1     V2         V3
1  aa 268847 0.10907532
2  ac 113458 0.04603164
3  ag 149223 0.06054204
4  at 248232 0.10071150
5  ca 155074 0.06291588
6  cc 104115 0.04224104
7  cg  45816 0.01858825
8  ct 146627 0.05948881
9  ga 149089 0.06048768
10 gc  86916 0.03526314
11 gg 105522 0.04281188
12 gt 114716 0.04654203
13 ta 205747 0.08347469
14 tc 146077 0.05926566
15 tg 156164 0.06335811
16 tt 269160 0.10920231
